PosX,PosY,RSSI,Name,Timestamp
11.724593,5.658967,-70,egopi3,1488829767738
11.724593,5.658967,-69,egopi3,1488829767867
11.724593,5.658967,-94,egopi1,1488829767900
11.724593,5.658967,-91,null,1488829767954
11.724593,5.658967,-93,egopi2,1488829767967
11.724593,5.658967,-72,egopi3,1488829767997
11.724593,5.658967,-92,egopi2,1488829768085
11.724593,5.658967,-90,egopi3,1488829768127
11.724593,5.658967,-90,null,1488829768138
11.724593,5.658967,-92,null,1488829768141
11.724593,5.658967,-82,egopi1,1488829768154
11.724593,5.658967,-85,egopi2,1488829768210
11.724593,5.658967,-80,egopi3,1488829768269
11.724593,5.658967,-76,egopi3,1488829768377
11.724593,5.658967,-78,egopi1,1488829768406
11.724593,5.658967,-94,egopi2,1488829768463
11.724593,5.658967,-92,null,1488829768504
11.724593,5.658967,-83,egopi1,1488829768536
11.724593,5.658967,-76,egopi3,1488829768633
11.724593,5.658967,-85,egopi1,1488829768663
11.724593,5.658967,-96,null,1488829768691
11.724593,5.658967,-84,egopi3,1488829768757
11.724593,5.658967,-93,egopi1,1488829768791
11.724593,5.658967,-78,egopi3,1488829768884
11.724593,5.658967,-81,egopi1,1488829768916
11.724593,5.658967,-91,egopi2,1488829768968
11.724593,5.658967,-70,egopi3,1488829769013
11.724593,5.658967,-70,egopi3,1488829769141
11.724593,5.658967,-64,egopi3,1488829769268
11.724593,5.658967,-76,egopi2,1488829769350
11.724593,5.658967,-70,egopi3,1488829769397
11.724593,5.658967,-78,egopi1,1488829769423
11.724593,5.658967,-84,egopi2,1488829769475
11.724593,5.658967,-77,egopi3,1488829769523
11.724593,5.658967,-79,egopi1,1488829769550
11.724593,5.658967,-87,egopi2,1488829769600
11.724593,5.658967,-68,egopi3,1488829769649
11.724593,5.658967,-88,egopi1,1488829769677
11.724593,5.658967,-96,egopi2,1488829769725
11.724593,5.658967,-61,egopi3,1488829769781
11.724593,5.658967,-82,egopi1,1488829769805
11.724593,5.658967,-68,egopi3,1488829769899
11.724593,5.658967,-81,egopi1,1488829769930
11.724593,5.658967,-85,egopi2,1488829769980
11.724593,5.658967,-63,egopi3,1488829770025
11.724593,5.658967,-77,egopi1,1488829770056
11.724593,5.658967,-83,egopi2,1488829770108
11.724593,5.658967,-68,egopi3,1488829770149
11.724593,5.658967,-80,egopi1,1488829770185
11.724593,5.658967,-67,egopi3,1488829770274
11.724593,5.658967,-81,egopi1,1488829770319
11.724593,5.658967,-86,egopi2,1488829770362
11.724593,5.658967,-76,egopi3,1488829770398
11.724593,5.658967,-80,egopi1,1488829770436
11.724593,5.658967,-84,egopi2,1488829770494
11.724593,5.658967,-71,egopi3,1488829770527
11.724593,5.658967,-86,egopi1,1488829770563
11.724593,5.658967,-91,egopi2,1488829770623
11.724593,5.658967,-73,egopi3,1488829770652
